domain,images,metric,estimate,lower_95,upper_95
all,240,mae,11.145833333333334,9.233229166666666,13.116770833333332
all,240,rmse,19.17322351614355,15.680258927628135,22.618544195568592
all,240,bias,-10.9875,-12.970833333333333,-9.033333333333333
all,240,mean_relative_absolute_error,0.47028124841349644,0.4234568289143909,0.518690851000596
all,240,r2,0.5310259064107596,0.2561496924898576,0.656855936034545
all,240,pearson_r,0.890159164443643,0.7625777769234446,0.9449910575022188
small_green,120,mae,10.8,8.233125,13.541874999999996
small_green,120,rmse,18.80115244694679,14.623190106877546,22.767557323035348
small_green,120,bias,-10.566666666666666,-13.333541666666667,-7.983333333333333
small_green,120,mean_relative_absolute_error,0.5299098777346569,0.4578354739157927,0.6090844557630078
small_green,120,r2,-0.09708935608913949,-0.35858879608686767,0.16159774901590307
small_green,120,pearson_r,0.5304785371556846,0.28480405503161094,0.7189233168769863
medium_green,81,mae,12.185185185185185,9.728395061728396,14.790432098765427
medium_green,81,rmse,16.89363968268517,14.021555274047097,19.58563027083335
medium_green,81,bias,-12.11111111111111,-14.753086419753087,-9.62962962962963
medium_green,81,mean_relative_absolute_error,0.37839538119222427,0.32862570699750404,0.4275916004396792
medium_green,81,r2,0.40380493340363577,0.2001914694057628,0.5418118123247825
medium_green,81,pearson_r,0.8988255757452089,0.8469959953157178,0.9380634091801695
mature,39,mae,10.051282051282051,4.205128205128205,17.846153846153847
mature,39,rmse,24.121487388760954,6.761457505941297,36.639974662506226
mature,39,bias,-9.948717948717949,-17.74423076923077,-4.051282051282051
mature,39,mean_relative_absolute_error,0.4776484208848756,0.3592833291862183,0.61400418387163
mature,39,r2,0.7819728253157371,0.7230865483887474,0.8508775661024468
mature,39,pearson_r,0.9897655141439328,0.9657266654569526,0.9967298659480284
