domain,system,size,targets,AP50,AP50_95,AR50,AR50_95
internal,direct,all,1423,0.8300146859583064,0.6113884076811451,0.9634574841883345,0.7338018271257905
internal,direct,small,525,0.661622830400546,0.44308091309101816,0.9504761904761905,0.6617142857142857
internal,recall_only,all,1423,0.8070383854723578,0.5927234091860762,0.9732958538299368,0.7380885453267745
internal,recall_only,small,525,0.6327360209957934,0.42303300600002497,0.9638095238095238,0.6678095238095237
internal,metadata,all,1423,0.818195944355266,0.6037726479168724,0.9725931131412509,0.7377371749824315
internal,metadata,small,525,0.6511972684592429,0.4368205829720563,0.9638095238095238,0.6678095238095237
internal,box_only,all,1423,0.8042656740743769,0.5920872255357775,0.9732958538299368,0.7376669009135629
internal,box_only,small,525,0.6430268642095979,0.43111057128564106,0.9619047619047619,0.6668571428571428
internal,score_only,all,1423,0.8256551375591421,0.6083554737195735,0.9725931131412509,0.7377371749824315
internal,score_only,small,525,0.6583901207846456,0.4411094639255233,0.9638095238095238,0.6678095238095237
internal,score_box,all,1423,0.8253816039657526,0.6082012699744686,0.9725931131412509,0.73731553056922
internal,score_box,small,525,0.6585162335414719,0.4412015303535711,0.9619047619047619,0.6668571428571428
plos,direct,all,1788,0.8095877336622181,0.6083372528829127,0.95917225950783,0.7370246085011185
plos,direct,small,837,0.6247746564516625,0.411813865266535,0.9199522102747909,0.6293906810035842
plos,recall_only,all,1788,0.8092620690161274,0.6072951745268762,0.9765100671140939,0.7482102908277406
plos,recall_only,small,837,0.6210232694238622,0.408828997877582,0.9581839904420549,0.6536439665471923
plos,metadata,all,1788,0.8089851921082968,0.6072396533808144,0.9737136465324385,0.74586129753915
plos,metadata,small,837,0.6244904623318486,0.4110960958061193,0.9522102747909199,0.6494623655913977
plos,box_only,all,1788,0.8098534661041931,0.6069084161947097,0.9776286353467561,0.7461968680089485
plos,box_only,small,837,0.6269689021946909,0.41099232407882635,0.959378733572282,0.6492234169653524
plos,score_only,all,1788,0.8158051423373536,0.6115941900070287,0.9765100671140939,0.7473154362416108
plos,score_only,small,837,0.6359862768783554,0.4175292377628865,0.9581839904420549,0.6524492234169653
plos,score_box,all,1788,0.8161794713480721,0.6110734438625871,0.977069351230425,0.7453579418344519
plos,score_box,small,837,0.63786394904686,0.4177037999071329,0.9581839904420549,0.6480286738351254
citdet,direct,all,10082,0.6608974753430576,0.2577174549180353,0.8031144614163856,0.37624479269986105
citdet,direct,small,9638,0.6528668116403654,0.24812721689297662,0.8021373728989417,0.37281593691637266
citdet,recall_only,all,10082,0.6538827769966455,0.25503501775919235,0.8131323150168618,0.3797262447926998
citdet,recall_only,small,9638,0.6458096394161876,0.24543972924398044,0.8124092135297779,0.376354015355883
citdet,metadata,all,10082,0.6541409317382666,0.2550044949487764,0.8114461416385638,0.37788137274350325
citdet,metadata,small,9638,0.6465285588655069,0.24545318911384814,0.8110603859721934,0.3746524175140071
citdet,box_only,all,10082,0.6554309269324564,0.25562649352822514,0.8140249950406665,0.38033128347550094
citdet,box_only,small,9638,0.6474670295133576,0.2459690192520223,0.8134467731894583,0.37702842913467527
citdet,score_only,all,10082,0.6622367019578952,0.2580230009886454,0.8148184883951597,0.3800436421344971
citdet,score_only,small,9638,0.654695215917304,0.2485745126092623,0.8141730649512346,0.37667565885038384
citdet,score_box,all,10082,0.6626508910625751,0.25835614230345594,0.815016861733783,0.3802320968061892
citdet,score_box,small,9638,0.6551295236618729,0.24881919612254552,0.8143805768831708,0.3768935463789168
