domain,reference,candidate,size,metric,difference,lower_95,upper_95,probability_difference_gt_zero
internal,direct,dart,all,AP50_95,-0.00303293396157156,-0.0041869050016478115,-0.0021861881928660516,0.0
internal,direct,dart,all,AR50,0.009135628952916308,0.0034764511407033823,0.01564725267270566,0.998
internal,direct,dart,small,AP50_95,-0.001971449165494854,-0.003134199661090431,-0.0010926619374897562,0.0
internal,direct,dart,small,AR50,0.013333333333333308,0.0023093357882525423,0.02640419996631041,0.995
plos,direct,dart,all,AP50_95,0.0032569371241160106,-0.0007428429052372537,0.006143045305511374,0.9465
plos,direct,dart,all,AR50,0.01733780760626391,0.0,0.0319728402444752,0.974
plos,direct,dart,small,AP50_95,0.005715372496351456,-0.0005811646956498217,0.009758614091431148,0.969
plos,direct,dart,small,AR50,0.03823178016726403,0.003058159903929858,0.06069088616074474,0.978
citdet,direct,dart,all,AP50_95,0.0003055460706100632,-0.0002676420156600509,0.0010787433386089393,0.8845
citdet,direct,dart,all,AR50,0.01170402697877404,0.0076654585302437465,0.016044265680659236,1.0
citdet,direct,dart,small,AP50_95,0.0004472957162856839,-0.00010297680440800662,0.0012129527151548893,0.95
citdet,direct,dart,small,AR50,0.012035692052292934,0.007982706154937591,0.016451665026927298,1.0
